[2020/09/15 14:31:27] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_np_4_0', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'NP', 'block_size': 4, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_np_4_0/', 'seed': 0}
[2020/09/15 14:31:30] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/09/15 15:07:08] - 192 	 11.1 	 	 0.0160 	 0.0607 	 0.9799
[2020/09/15 15:07:19] - 193 	 11.1 	 	 0.0140 	 0.0546 	 0.9816
[2020/09/15 15:07:30] - 194 	 11.1 	 	 0.0120 	 0.0451 	 0.9851
[2020/09/15 15:07:41] - 195 	 11.1 	 	 0.0100 	 0.0320 	 0.9901
[2020/09/15 15:07:52] - 196 	 11.1 	 	 0.0080 	 0.0259 	 0.9922
[2020/09/15 15:08:03] - 197 	 11.1 	 	 0.0060 	 0.0198 	 0.9940
[2020/09/15 15:08:14] - 198 	 11.1 	 	 0.0040 	 0.0124 	 0.9967
[2020/09/15 15:08:25] - 199 	 11.1 	 	 0.0020 	 0.0095 	 0.9978
[2020/09/15 15:08:36] - 200 	 11.1 	 	 0.0000 	 0.0083 	 0.9981
[2020/09/15 15:08:37] - == Test loss: 0.2504, Test acc: 0.9325
[2020/09/15 15:08:39] - == Training Finished. best_test_acc: 0.9325 ==
[2020/09/15 15:08:39] - == Total training time: 37.1429 minutes ==
